Open reading frame,gonad_a1,gonad_a2,gonad_a3,gonad_a4,gonad_a5,gonad_a6,gonad_a7,gonad_a8,gonad_a9,gonad_a10,gonad_b1,gonad_b2,gonad_b3,gonad_b4,gonad_b5,gonad_b6,gonad_b7,gonad_b8,gonad_b9,gonad_b10,Chromosome,Start,End,Strand,WBGene,Gene Name,Type
AC3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_V,10388447,10393480,+,WBGene00007071,,cds
AC3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_V,10393508,10395209,-,WBGene00000724,col-151,cds
AC3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_V,10395654,10397794,+,WBGene00007072,ugt-1,cds
AC3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_V,10398787,10401290,+,WBGene00007073,ugt-2,cds
AC7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_IV,5112921,5122011,-,WBGene00006428,tag-49,cds
AC7.2,0,0,0.650664654,0.271281343,0,5.903718781,0,4.918597216,2.82674858,4.487665651,1.128591743,0,0,0.313903738,1.971353419,3.950149118,7.602972762,4.401343877,6.7413999,2.99629957,CHROMOSOME_IV,5126998,5145802,-,WBGene00004929,soc-2,cds
AC7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_IV,5111678,5112867,+,WBGene00014997,,cds
AC8.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_X,237496,239177,-,WBGene00043988,,cds
AC8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.963057129,0,CHROMOSOME_X,236067,236810,-,WBGene00043989,,cds
AC8.12,0,0,0,0,0,0.281129466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_X,239849,240779,+,WBGene00043990,,cds
AC8.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_X,228080,229761,-,WBGene00007075,,cds
AC8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.963057129,0,CHROMOSOME_X,226651,227394,-,WBGene00007076,,cds
AC8.7,0,0,0,0,0,0.281129466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_X,230433,231363,+,WBGene00007079,,cds
AH10.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_V,14146494,14148769,+,WBGene00007082,acs-10,cds
AH10.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_V,14156816,14157607,+,WBGene00007083,,cds
AH10.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_V,14144015,14145396,-,WBGene00007084,,cds
AH10.4,0,0,0.325332327,0,0,0,0,0,0,0,0,0,0,0,0.281621917,0,0,0,0,0,CHROMOSOME_V,14137333,14137625,-,WBGene00007085,,cds
AH6.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_II,9512431,9516877,-,WBGene00001528,gcy-1,cds
AH6.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_II,9548346,9549639,-,WBGene00005032,sra-6,cds
AH6.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_II,9544626,9546148,+,WBGene00005033,sra-7,cds
AH6.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_II,9537669,9539025,+,WBGene00005034,sra-8,cds
AH6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_II,9532239,9533914,+,WBGene00005035,sra-9,cds
AH6.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_II,9523111,9523475,+,WBGene00219290,,cds
AH6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_II,9517509,9518837,-,WBGene00007080,,cds
AH6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_II,9519037,9520151,+,WBGene00007081,,cds
AH6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_II,9520141,9521611,-,WBGene00005027,sra-1,cds
AH6.5,4.079246155,4.34640878,8.783972828,20.88866342,46.37782755,43.85619666,41.95910894,42.62784254,46.1702268,60.13471972,3.38577523,8.344712487,12.51491733,18.8342243,48.1573478,42.46410302,38.96523541,30.80940714,49.11591356,44.94449355,CHROMOSOME_II,9524113,9526307,+,WBGene00003231,mex-6,cds
AH6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_II,9528720,9529802,+,WBGene00005028,sra-2,cds
AH6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_II,9539214,9540763,-,WBGene00005029,sra-3,cds
AH6.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_II,9541541,9542825,-,WBGene00005030,sra-4,cds
AH9.1,0,0,0,0,0,0,0,0,0.942249527,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_X,2243226,2247000,-,WBGene00014998,,cds
AH9.2,0,0,0,0,0,5.341459849,17.16509002,1.639532405,6.595746686,8.975331302,0,0,0,0,1.408109585,4.937686398,2.851114786,2.934229251,0.963057129,2.99629957,CHROMOSOME_X,2255840,2258073,-,WBGene00000797,crn-4,cds
AH9.3,0,0,0,0,0,3.93581252,3.814464449,4.918597216,7.537996212,11.66793069,0,0,0.446961333,0,0.281621917,5.925223677,3.801486381,8.802687754,10.59362841,10.4870485,CHROMOSOME_X,2259144,2260518,-,WBGene00014999,,cds
AH9.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_X,2271017,2274329,-,WBGene00015000,,cds
AH9.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_X,2263168,2267464,-,WBGene00044701,,cds
AH9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.950371595,0,0,0,CHROMOSOME_X,2243145,2244459,+,WBGene00175029,,cds
B0001.1,4.079246155,14.77778985,18.54394264,23.33019551,16.8840939,14.33760275,13.35062557,22.95345368,20.72948958,24.68216108,2.257183486,10.62054316,22.34806667,17.26470561,12.95460818,11.35667871,12.35483074,8.802687754,10.59362841,11.98519828,CHROMOSOME_IV,12129482,12135410,+,WBGene00003010,lin-24,cds
B0001.2,21.75597949,12.16994458,16.59194868,17.36200596,18.38015285,16.30550901,11.44339335,9.837194432,15.07599242,13.91176352,13.54310092,18.96525565,21.90110534,21.3454542,25.34597252,15.80059647,10.45408755,5.868458503,19.26114257,17.97779742,CHROMOSOME_IV,12146459,12150953,-,WBGene00007087,,cds
B0001.3,0,10.86602195,6.831978866,11.66509776,9.403799135,8.996142904,11.44339335,4.918597216,3.768998106,6.282731911,4.514366973,6.068881809,10.727072,6.905882242,6.47730409,10.36914144,5.702229572,8.802687754,6.7413999,4.494449355,CHROMOSOME_IV,12143409,12145709,-,WBGene00007088,,cds
B0001.4,13.59748718,15.64707161,19.19460729,17.09072462,15.60175766,16.86776794,9.536161123,16.39532405,21.67173911,17.50189604,22.57183486,17.4480352,10.727072,20.08983925,12.67298626,10.86291007,19.00743191,5.868458503,5.778342771,8.98889871,CHROMOSOME_IV,12135058,12137327,-,WBGene00007089,,cds
B0001.5,2.719497437,7.388894926,5.855981885,5.15434552,5.556790398,5.903718781,11.44339335,6.558129621,0.942249527,3.141365956,4.514366973,7.586102261,8.939226668,4.394652336,4.505950671,6.418992317,4.751857976,5.868458503,2.889171386,2.99629957,CHROMOSOME_IV,12141138,12143309,-,WBGene00007090,,cds
B0001.6,0,0,0.325332327,0,0,3.93581252,9.536161123,4.918597216,10.36474479,8.526564737,0,0,0,0,0.844865751,4.937686398,8.553344358,7.335573128,10.59362841,4.494449355,CHROMOSOME_IV,12156816,12164252,+,WBGene00007091,,cds
B0001.7,6.798743592,6.954254048,8.458640501,14.64919253,13.67825329,10.40179023,1.907232225,11.47672684,14.1337429,15.70682978,14.67169266,9.861932939,7.598342667,9.417112148,16.05244927,7.900298236,6.652601167,13.20403163,10.59362841,2.99629957,CHROMOSOME_IV,12150934,12154220,-,WBGene00007092,,cds
B0001.8,1.359748718,6.51961317,5.855981885,7.595877609,7.052849351,7.028236644,7.628928898,8.197662027,5.653497159,14.80929665,4.514366973,10.62054316,6.704420001,7.21978598,7.603791757,6.912760957,8.553344358,2.934229251,5.778342771,5.99259914,CHROMOSOME_IV,12138823,12141036,-,WBGene00007093,,cds
B0019.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_I,12759576,12764950,-,WBGene00000138,amx-2,cds
B0019.2,2.719497437,2.17320439,5.205317232,3.797938804,1.923504368,2.530165192,3.814464449,1.639532405,3.768998106,3.141365956,1.128591743,3.79305113,4.022652,1.88342243,4.505950671,6.418992317,4.751857976,4.401343877,4.815285643,2.99629957,CHROMOSOME_I,12773647,12782247,+,WBGene00007094,,cds
B0024.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_V,10291671,10292843,-,WBGene00000722,col-149,cds
B0024.10,13.59748718,4.781049658,12.68796075,17.63328731,10.68613538,8.996142904,9.536161123,11.47672684,15.07599242,15.25806321,6.771550459,9.861932939,12.96187867,10.6727271,13.2362301,5.925223677,13.30520233,5.868458503,4.815285643,2.99629957,CHROMOSOME_V,10315225,10317371,-,WBGene00007100,,cds
B0024.11,13.59748718,19.55883951,7.807975847,10.30869104,10.68613538,8.152754507,15.2578578,13.11625924,11.30699432,4.936432216,11.28591743,18.20664543,10.727072,10.04491962,14.36271776,11.85044735,10.45408755,5.868458503,6.7413999,2.99629957,CHROMOSOME_V,10317465,10319509,-,WBGene00007101,,cds
B0024.12,0,0,0.650664654,0.542562686,0.213722708,0.281129466,0,1.639532405,0.942249527,0.448766565,2.257183486,0,0,0,0.281621917,0.49376864,0,1.467114626,0,0,CHROMOSOME_V,10319510,10320133,-,WBGene00001646,gna-1,cds
B0024.13,1.359748718,9.127458437,10.41063446,13.8353485,14.53314412,13.49421436,9.536161123,4.918597216,15.07599242,12.11669726,2.257183486,11.37915339,8.492265334,5.650267289,14.64433968,14.81305919,22.80891829,17.60537551,15.40891406,10.4870485,CHROMOSOME_V,10320690,10322190,+,WBGene00007102,,cds
B0024.14,0,0,0,0,0,0.281129466,0,0,0,0,0,0,0,0.313903738,0,0,0,0,0,0,CHROMOSOME_V,10322262,10332087,-,WBGene00007103,crm-1,cds
B0024.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_V,10289696,10291685,+,WBGene00007104,,cds
B0024.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_V,10293540,10294596,-,WBGene00000723,col-150,cds
B0024.3,0,0,0.325332327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_V,10287539,10289247,+,WBGene00007096,,cds
B0024.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_V,10297374,10298957,+,WBGene00007097,,cds
B0024.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_V,10308266,10314028,-,WBGene00001533,gcy-6,cds
B0024.8,0,0,0,0,0,0,0,0,0.942249527,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_V,10299448,10307329,-,WBGene00000491,che-12,cds
B0024.9,20.39623078,26.94773443,25.70125383,26.58557163,22.22716159,16.86776794,9.536161123,4.918597216,10.36474479,7.629031607,20.31465138,22.75830678,24.135912,31.07647009,21.12164377,14.31929055,15.20594552,17.60537551,11.55668554,13.48334807,CHROMOSOME_V,10314616,10315751,+,WBGene00007099,trx-2,cds
B0025.1,1.359748718,2.607845268,4.229320251,2.984094775,3.419563322,2.249035726,0,6.558129621,3.768998106,2.243832825,1.128591743,2.275830678,3.128729334,4.394652336,1.408109585,4.937686398,0.950371595,4.401343877,2.889171386,1.498149785,CHROMOSOME_I,6028488,6033460,+,WBGene00006932,vps-34,cds
B0025.2,21.75597949,9.127458437,7.807975847,11.12253507,12.18219433,12.36969649,7.628928898,11.47672684,8.480245739,13.46299695,3.38577523,7.586102261,9.386188001,13.49786075,10.42001093,8.394066876,8.553344358,8.802687754,12.51974267,25.46854635,CHROMOSOME_I,6022659,6026983,+,WBGene00000814,csn-2,cds
B0025.4,4.079246155,4.34640878,5.205317232,7.595877609,5.556790398,6.184848246,7.628928898,1.639532405,6.595746686,7.629031607,2.257183486,3.79305113,6.257458667,5.022459812,5.914060256,4.443917758,5.702229572,2.934229251,3.852228514,4.494449355,CHROMOSOME_I,6027194,6028372,+,WBGene00015001,,cds
B0025.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_I,6024153,6024957,-,WBGene00194700,,cds
B0034.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_II,5970080,5972630,+,WBGene00015002,,cds
B0034.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_II,5944171,5944343,-,WBGene00015003,,cds
B0034.3,1.359748718,0,0.650664654,0.81384403,0.427445415,0.843388397,7.628928898,6.558129621,6.595746686,2.692599391,0,0,0,0.313903738,0.563243834,2.468843199,1.900743191,8.802687754,6.7413999,8.98889871,CHROMOSOME_II,5945381,5956660,-,WBGene00000403,casy-1,cds
B0034.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_II,5968110,5969033,-,WBGene00015004,,cds
B0034.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_II,5972831,5974952,-,WBGene00015005,,cds
B0034.7,0,0,0,0,0,0,0,0,0,0,0,0,0.446961333,0,0,0,0,0,0,1.498149785,CHROMOSOME_II,5961652,5961975,+,WBGene00044394,,cds
B0035.1,24.47547693,22.60132565,26.67725081,32.55376118,29.28001094,26.42616978,34.33018004,16.39532405,36.74773153,36.79885834,22.57183486,30.34440904,28.60552534,21.3454542,27.31732594,41.47656574,32.31263424,19.07249013,21.18725683,23.97039656,CHROMOSOME_IV,11310950,11312475,+,WBGene00007105,,cds
B0035.10,0,0,0.650664654,1.627688059,2.564672491,2.530165192,0,0,0,0.448766565,1.128591743,0,0.893922667,0.627807477,0.563243834,0.98753728,0.950371595,0,0,1.498149785,CHROMOSOME_IV,11326535,11327198,+,WBGene00001919,his-45,cds
B0035.11,6.798743592,11.30066283,12.68796075,12.75022313,17.95270744,13.77534382,17.16509002,8.197662027,9.422495265,19.2969623,14.67169266,12.89637384,17.431492,12.55614953,18.86866844,16.29436511,18.05706031,8.802687754,8.667514157,4.494449355,CHROMOSOME_IV,11327592,11329349,-,WBGene00007110,,cds
B0035.12,20.39623078,23.03596653,14.31462239,19.80353805,22.4408843,13.49421436,19.07232225,19.67438886,11.30699432,14.80929665,18.05746789,9.103322713,12.067956,16.63689813,15.77082735,10.36914144,9.503715953,16.13826088,12.51974267,19.47594721,CHROMOSOME_IV,11329444,11332922,-,WBGene00007111,,cds
B0035.13,0,0,0,0.271281343,0,0,1.907232225,0,0,0,0,0,0.446961333,0,0.281621917,0,0,0,0,0,CHROMOSOME_IV,11304699,11306698,-,WBGene00007112,,cds
B0035.14,9.518241029,5.650331414,9.759969809,11.39381641,11.96847163,11.24517863,5.721696674,4.918597216,8.480245739,10.77039756,4.514366973,3.034440904,12.51491733,5.650267289,11.54649859,14.81305919,6.652601167,10.26980238,13.4827998,10.4870485,CHROMOSOME_IV,11298986,11304765,+,WBGene00001019,dnj-1,cds
B0035.15,17.67673334,11.30066283,9.759969809,14.10662984,10.04496726,12.36969649,5.721696674,11.47672684,9.422495265,10.77039756,12.41450918,9.861932939,13.85580133,15.06737944,11.54649859,10.86291007,9.503715953,16.13826088,7.704457028,13.48334807,CHROMOSOME_IV,11296969,11298397,-,WBGene00007113,,cds
B0035.16,0,2.607845268,0.975996981,2.170250745,1.709781661,0.843388397,0,1.639532405,3.768998106,2.243832825,1.128591743,4.551661356,3.128729334,0.941711215,1.689731502,0,0,0,0,0,CHROMOSOME_IV,11295126,11296867,-,WBGene00007114,,cds
B0035.18,8.158492311,3.477127024,3.25332327,2.170250745,2.778395199,1.96790626,0,1.639532405,0,3.590132521,5.642958716,3.034440904,2.234806667,4.394652336,2.534597252,5.431455037,5.702229572,1.467114626,3.852228514,1.498149785,CHROMOSOME_IV,11320298,11320621,+,WBGene00044290,,cds
B0035.2,0,1.738563512,4.229320251,4.069220148,4.274454152,6.184848246,3.814464449,1.639532405,3.768998106,7.180265042,3.38577523,5.310271582,3.128729334,3.766844859,4.787572588,4.937686398,4.751857976,5.868458503,5.778342771,1.498149785,CHROMOSOME_IV,11312451,11313954,-,WBGene00001020,dnj-2,cds
B0035.3,14.9572359,15.21243073,15.61595169,15.19175522,18.80759827,16.30550901,13.35062557,8.197662027,9.422495265,19.2969623,10.15732569,15.17220452,15.64364667,15.06737944,14.9259616,17.28190239,20.9081751,7.335573128,14.44585693,19.47594721,CHROMOSOME_IV,11314055,11315028,-,WBGene00007106,,cds
B0035.4,20.39623078,17.38563512,17.56794566,14.37791119,12.82336246,11.80743756,11.44339335,8.197662027,11.30699432,11.66793069,21.44324312,14.4135943,16.98453067,25.74010654,18.02380268,10.36914144,7.602972762,14.67114626,7.704457028,8.98889871,CHROMOSOME_IV,11315183,11315855,+,WBGene00007107,pfd-4,cds
B0035.5,4.079246155,5.215690536,9.759969809,6.239470893,6.411681228,6.465977712,1.907232225,6.558129621,2.82674858,9.424097867,4.514366973,6.827492035,8.492265334,5.650267289,7.885413674,3.950149118,3.801486381,0,7.704457028,10.4870485,CHROMOSOME_IV,11317395,11319928,+,WBGene00007108,gspd-1,cds
B0035.6,39.43271283,26.94773443,29.93057408,32.28247984,35.90541488,28.67520551,36.23741227,40.98831013,42.40122869,54.30075438,18.05746789,33.37884995,33.07513867,26.99572149,41.96166562,41.47656574,46.56820817,44.01343877,49.11591356,41.94819398,CHROMOSOME_IV,11320778,11323614,+,WBGene00007109,,cds
B0035.7,0,1.303922634,0.650664654,0.81384403,1.496058953,1.686776794,1.907232225,1.639532405,0,2.243832825,1.128591743,0,1.787845334,1.255614953,1.126487668,0,3.801486381,0,1.926114257,0,CHROMOSOME_IV,11323863,11324448,-,WBGene00001921,his-47,cds
B0035.8,2.719497437,4.34640878,6.831978866,8.409721638,7.694017474,7.309366109,7.628928898,13.11625924,9.422495265,8.077798172,2.257183486,2.275830678,5.363536001,5.336363551,6.758926007,4.937686398,3.801486381,0,1.926114257,1.498149785,CHROMOSOME_IV,11324697,11325200,+,WBGene00001922,his-48,cds
B0035.9,0,0,1.951993962,2.984094775,2.778395199,2.811294657,0,1.639532405,2.82674858,4.487665651,1.128591743,1.517220452,1.340884,2.197326168,1.408109585,0,0,0,0.963057129,1.498149785,CHROMOSOME_IV,11325996,11326307,-,WBGene00001920,his-46,cds
B0041.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_I,4664500,4665349,+,WBGene00015006,,cds
B0041.11,0,0.434640878,0,0.271281343,0,0.281129466,1.907232225,0,0,1.79506626,0,0,0,0,0,1.975074559,3.801486381,1.467114626,1.926114257,2.99629957,CHROMOSOME_I,4661116,4662200,-,WBGene00206362,,cds
B0041.2,2.719497437,2.17320439,2.277326289,1.085125373,1.923504368,0.843388397,0,0,1.884499053,0.89753313,0,0.758610226,1.340884,0.941711215,2.534597252,1.975074559,0,1.467114626,3.852228514,0,CHROMOSOME_I,4653472,4659519,+,WBGene00015007,ain-2,cds
B0041.3,0,0,0,0.271281343,0,1.96790626,1.907232225,1.639532405,0,1.346299695,0,0,0,0,0.844865751,0.98753728,0.950371595,0,0.963057129,0,CHROMOSOME_I,4644438,4645627,+,WBGene00015008,,cds
B0041.4,489.5095386,319.4610453,265.1458465,215.9399492,181.4505788,178.7983402,230.7750992,83.61615267,67.84196591,26.47722734,514.6378349,386.8912153,322.2591214,267.1320813,192.3477693,174.7940985,116.8957062,23.47383401,22.15031396,16.47964764,CHROMOSOME_I,4645637,4646966,-,WBGene00004415,rpl-4,cds
B0041.5,0,3.477127024,2.927990943,5.96818955,3.419563322,5.903718781,7.628928898,6.558129621,4.711247633,6.282731911,0,4.551661356,12.067956,6.278074766,10.42001093,7.406529596,6.652601167,4.401343877,3.852228514,8.98889871,CHROMOSOME_I,4648270,4650771,-,WBGene00015009,,cds
B0041.6,0,0.869281756,0,0,0,0.281129466,1.907232225,1.639532405,0,0,0,0.758610226,0,0,0,0.49376864,0,0,0,0,CHROMOSOME_I,4652144,4652907,-,WBGene00015010,ptps-1,cds
B0041.7,13.59748718,16.95099424,17.56794566,13.02150447,13.67825329,15.46212062,24.79401892,3.279064811,12.24924384,12.11669726,15.80028441,19.72386588,14.749724,17.26470561,19.15029035,19.25697695,10.45408755,14.67114626,19.26114257,5.99259914,CHROMOSOME_I,4665745,4671739,-,WBGene00006961,xnp-1,cds
B0041.8,10.87798975,16.95099424,19.19460729,25.50044626,23.93694325,22.77148673,17.16509002,21.31392127,19.78724006,26.47722734,12.41450918,15.93081475,25.02983467,16.32299439,16.05244927,18.76320831,7.602972762,14.67114626,9.630571285,10.4870485,CHROMOSOME_I,4647319,4648279,+,WBGene00015011,,cds
B0047.1,4.079246155,1.303922634,0.325332327,0.271281343,0.213722708,0.281129466,0,0,0,0,0,0,0,0,0,0.49376864,0,0,0,0,CHROMOSOME_II,2040276,2041620,-,WBGene00015012,bath-20,cds
B0047.2,1.359748718,1.738563512,0,0.271281343,1.068613538,1.124517863,1.907232225,0,0,0.448766565,0,1.517220452,0.446961333,0,0.281621917,0,0,0,0,0,CHROMOSOME_II,2043028,2044064,-,WBGene00015013,btb-3,cds
B0047.3,6.798743592,1.738563512,0.975996981,1.898969402,1.923504368,1.405647329,0,0,0,0,1.128591743,0.758610226,3.128729334,2.197326168,2.252975336,1.481305919,0,0,0,0,CHROMOSOME_II,2044629,2045590,-,WBGene00015014,bath-24,cds
B0047.4,0,0,0,0,0.213722708,0,0,0,0,0,0,0,0,0,0,0.49376864,0,0,0,0,CHROMOSOME_II,2045968,2046661,-,WBGene00015015,math-1,cds
B0198.1,0,0,0,0.271281343,0,0.281129466,0,0,0,0,0,0,0,0,0,0,1.900743191,0,0,0,CHROMOSOME_X,12031530,12033969,-,WBGene00006646,tsp-20,cds
B0198.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_X,12028643,12031429,+,WBGene00007115,,cds
B0198.3,0,0,0,0,0,0,1.907232225,1.639532405,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_X,12042548,12049279,-,WBGene00007116,,cds
B0205.1,16.31698462,10.43138107,10.41063446,11.39381641,11.96847163,9.839531301,13.35062557,11.47672684,5.653497159,12.56546382,11.28591743,7.586102261,12.067956,12.55614953,14.9259616,16.29436511,16.15631712,10.26980238,10.59362841,20.97409699,CHROMOSOME_I,10713439,10718190,-,WBGene00015017,,cds
B0205.10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_I,10708352,10710364,+,WBGene00015024,,cds
B0205.11,38.07296412,34.33662936,38.06388226,41.77732685,32.27212885,16.02437955,20.97955447,8.197662027,15.07599242,13.01423039,32.72916055,24.27552723,36.203868,37.35454486,27.59894786,10.36914144,10.45408755,7.335573128,9.630571285,8.98889871,CHROMOSOME_I,10732531,10733674,-,WBGene00015025,mrpl-9,cds
B0205.12,4.079246155,3.042486146,8.133308174,4.611782834,4.915622275,2.811294657,1.907232225,1.639532405,0.942249527,2.243832825,3.38577523,3.034440904,4.469613334,1.88342243,1.971353419,1.975074559,1.900743191,0,0,0,CHROMOSOME_I,10730456,10730701,+,WBGene00044413,,cds
B0205.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0.313903738,0,0,0,0,0,0,CHROMOSOME_I,10727740,10728784,-,WBGene00044644,,cds
B0205.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_I,10726907,10727340,+,WBGene00044646,,cds
B0205.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHROMOSOME_I,10724150,10726125,-,WBGene00015018,srz-85,cds
