Open reading frame,group ID,1,2,3,4,5,6,7,8,9,10,diffExp,chromosome,chrom_start,chrom_end,strand,wbgene,Gene name,type
K08C7.1,3,0,0,0,0,0.319239076,0.318327625,0.966147004,0,0,1.320859981,1.320859981,CHROMOSOME_IV,10656854,10660763,+,WBGene00010646,,cds
Y58A7A.1,3,0,0,0,0,0.319239076,0.318327625,0.560896671,0,0,1.136087321,1.136087321,CHROMOSOME_V,5067562,5069650,-,WBGene00021975,,cds
Y77E11A.12,3,0,0.675026005,0,0,0.279438855,0.578956716,0.96374902,0,0,1.320859981,1.320859981,CHROMOSOME_IV,1461921,1475108,-,WBGene00022313,,cds
H14E04.5,3,2.13729753,2.143317866,2.435703606,2.719915657,3.016259772,2.737164725,3.257475029,2.522603045,2.401012759,3.585558259,1.448260729,CHROMOSOME_III,2394319,2401298,-,WBGene00000506,cic-1,cds
ZK892.1,3,0,0,0,0.683917639,0.710309942,0.318327625,1.278316317,0.793735534,0,1.885961338,1.885961338,CHROMOSOME_II,9991310,10000287,+,WBGene00002266,lec-3,cds
C18F3.4,3,0.64551341,0,0,0,0.14647452,1.605762106,1.278316317,0.86375311,0,2.588744401,2.588744401,CHROMOSOME_IV,8083947,8086638,-,WBGene00044508,nsy-7,cds
Y38F1A.6,3,0.748353335,0,0.406354161,0.210328848,0.710309942,0.708702296,1.28024483,0.86375311,0.556919604,1.825436063,1.825436063,CHROMOSOME_II,12994289,12996502,-,WBGene00012608,,cds
M176.11,3,0.64551341,0,0,0.183506423,0.190059745,1.01562775,0.96374902,0,0.567086442,1.665074193,1.665074193,CHROMOSOME_II,9422209,9423293,+,WBGene00010947,,cds
Y87G2A.17,3,1.547965312,0.283708983,0,0,0.437796251,1.792963207,2.114215451,0,0.973102158,2.552694516,2.552694516,CHROMOSOME_I,13491376,13493308,-,WBGene00013603,,cds
R07C3.8,3,0.64551341,0,0.217436915,0,0,0.708702296,0.96374902,0,0,1.763701748,1.763701748,CHROMOSOME_II,913687,915214,+,WBGene00019924,fbxc-33,cds
C34G6.6,3,0,0,0.631162961,0.183506423,0.190059745,0,0,0,0,1.136087321,1.136087321,CHROMOSOME_I,5874436,5878957,-,WBGene00016422,noah-1,cds
Y48G10A.6,3,0,0.520689644,0.686726856,0,0.437796251,0,0,0,0,1.276332728,1.276332728,CHROMOSOME_I,13451508,13452830,+,WBGene00013023,,cds
Y47D3A.16,3,0.748353335,1.302118571,1.109989317,0.90902622,0.73993897,0.611657559,0.966147004,0.86375311,0.973102158,1.942777021,1.331119462,CHROMOSOME_III,11245090,11251158,+,WBGene00012929,rsks-1,cds
F54D5.7,3,2.059429633,2.970772666,2.991071531,2.719915657,2.957931172,2.478643129,2.640050032,2.478651312,2.845398665,3.739270039,1.679840406,CHROMOSOME_II,11547417,11549612,+,WBGene00010052,,cds
ZK836.2,3,2.4667481,3.3231887,3.256637406,3.060721557,3.247742671,2.782455972,3.024589275,3.132020315,2.847485567,3.956294206,1.489546106,CHROMOSOME_V,12194459,12205467,+,WBGene00014098,,cds
K04G2.5,3,3.864958088,4.498331252,4.56202741,4.458722663,4.395237319,4.158548039,4.18077559,4.496597296,4.45464718,4.887347111,1.022389022,CHROMOSOME_I,8036938,8038907,-,WBGene00010564,ath-1,cds
C07H4.1,3,0,0,0,0,0,0,0,0.793735534,0,1.320859981,1.320859981,CHROMOSOME_II,9091047,9093634,-,WBGene00007421,,cds
C09F9.3,3,0,0,0,0,0,0,0,0.793735534,0,1.320859981,1.320859981,CHROMOSOME_II,14720477,14733449,-,WBGene00007480,glna-1,cds
F35G2.3,3,0,0,0,0,0,0.318327625,0,0.793735534,0,1.521548961,1.521548961,CHROMOSOME_IV,12209686,12210715,+,WBGene00009437,,cds
W02D9.10,3,0.748353335,0,0,0.393859582,0.319239076,0.189748329,0,1.400282378,0,2.805828803,2.805828803,CHROMOSOME_I,12551528,12552360,+,WBGene00012216,,cds
Y43F8A.5,3,0,0,0.290991304,0.210328848,0,0,0,0.793735534,0,1.136087321,1.136087321,CHROMOSOME_V,19384858,19390091,-,WBGene00012811,,cds
C31H2.14,3,0,0,0,0.210328848,0.319239076,0.318327625,0.560896671,0.86375311,0,1.998664734,1.998664734,CHROMOSOME_X,5148483,5148796,+,WBGene00206484,,cds
K03B8.6,3,0.64551341,0,0,0.370267571,0.14647452,0,0,0.86375311,0.567086442,1.795604037,1.795604037,CHROMOSOME_V,11407505,11409522,+,WBGene00010524,,cds
T10H9.5,3,0.748353335,0,0,0,0,0.578956716,0,1.71671915,0.567086442,2.152204884,2.152204884,CHROMOSOME_V,6662174,6665798,-,WBGene00004062,pmp-5,cds
T14G11.1,3,0.748353335,0,0,0,0,0.50761118,0,0.793735534,0.556919604,1.559206109,1.559206109,CHROMOSOME_X,2688985,2691919,+,WBGene00020510,,cds
Y76A2B.5,3,3.932038958,3.853372351,3.524570076,4.110435248,3.838589349,3.974481576,3.887827401,4.431751811,4.22271985,4.725282381,1.200712305,CHROMOSOME_III,13546786,13548919,-,WBGene00013577,,cds
C33B4.4,3,0.748353335,0.902484042,1.840523178,1.417007481,1.491406997,0.882360075,0.96374902,1.754070692,1.277257619,2.375942776,1.627589441,CHROMOSOME_II,11375588,11376207,-,WBGene00007892,,cds
C55B7.2,3,0,0,0.217436915,0.393859582,0.319239076,0,0,0.793735534,0.556919604,1.320859981,1.320859981,CHROMOSOME_I,6507895,6511617,+,WBGene00001627,gly-2,cds
K02A4.1,3,0,0,0.290991304,0.978778374,0.680059631,0,0.560896671,1.71671915,1.277257619,1.856016079,1.856016079,CHROMOSOME_X,12877410,12880255,+,WBGene00001149,bcat-1,cds
W03A5.4,3,2.522438462,2.659540281,2.599542977,2.664112519,2.854149277,1.997571646,2.640800751,3.221530222,2.845398665,3.539620775,1.54204913,CHROMOSOME_III,5431368,5434428,-,WBGene00020968,,cds
C14H10.2,3,0,0.675026005,0.406354161,0.370267571,0.14647452,0.189748329,0.560896671,2.007352733,0,1.630114008,2.007352733,CHROMOSOME_X,10242267,10251295,-,WBGene00007592,,cds
F14D12.6,3,0,0,0,0.210328848,0,0,0,1.302824747,0,0.980725943,1.302824747,CHROMOSOME_X,5609120,5611215,-,WBGene00006411,octr-1,cds
W09G3.8,3,2.828890014,2.899224902,2.715612662,2.435681743,2.863890329,2.558926079,2.937784049,3.580081973,2.843308739,3.195427436,1.14440023,CHROMOSOME_I,13812123,13814343,-,WBGene00012371,,cds
B0361.9,3,0,0,0,0,1.267901046,2.505903535,0.560896671,1.352376344,0.556919604,2.102058775,2.505903535,CHROMOSOME_III,7298284,7299579,-,WBGene00015163,,cds
F49B2.5,3,0,0,0.217436915,0,0.883515837,1.350381946,0,0.793735534,0.567086442,1.665074193,1.665074193,CHROMOSOME_I,14322225,14328946,+,WBGene00005078,src-2,cds
F31B9.3,3,0,0,0,0,0.357970725,1.063691182,0,0.86375311,0.567086442,1.885961338,1.885961338,CHROMOSOME_X,15923668,15924679,+,WBGene00009280,,cds
Y105C5B.21,3,0,0,0.217436915,0,0,1.350381946,0,0.793735534,0.556919604,1.521548961,1.521548961,CHROMOSOME_IV,15997633,16026815,-,WBGene00002175,jac-1,cds
W07G9.2,3,0,0,0,0,0.612866001,1.807150538,0,0.793735534,1.283436976,2.051287803,2.051287803,CHROMOSOME_IV,3791581,3794041,+,WBGene00019546,glct-6,cds
F20B6.9,3,0,0,0.290991304,0,0,1.01562775,0,0.793735534,0,1.136087321,1.136087321,CHROMOSOME_X,4204578,4206420,-,WBGene00017632,,cds
T05A6.1,3,0,0,0.217436915,0.183506423,0,1.01562775,0,0.86375311,0,0.924125075,1.01562775,CHROMOSOME_II,7811189,7812052,+,WBGene00000516,cki-1,cds
F54D1.4,3,0,0,0,0,0,0.937693037,0,0.86375311,0,1.444949572,1.444949572,CHROMOSOME_IV,11266270,11268835,-,WBGene00003606,nhr-7,cds
Y71G12B.11,3,0.748353335,0,0.290991304,0.683917639,0.473509795,1.605762106,0,1.71671915,0.567086442,2.758052401,2.758052401,CHROMOSOME_I,1721594,1740920,+,WBGene00022151,,cds
C33G8.7,3,0,0,0,0,0,1.247919211,0,0,0,0.924125075,1.247919211,CHROMOSOME_V,6980577,6982151,-,WBGene00016364,nhr-161,cds
T22B7.5,3,0,0,0,0,0.190059745,1.087135474,0,0,0,0.806592064,1.087135474,CHROMOSOME_X,5642882,5644905,-,WBGene00005718,srv-7,cds
ZK84.3,3,0,0,0,0,0.508360573,1.850328894,0,0,0,0.980725943,1.850328894,CHROMOSOME_II,5998417,5998993,+,WBGene00002088,ins-5,cds
W04A8.1,3,1.703624993,2.013806509,1.666972243,1.300394781,2.476372089,3.157077154,1.947704985,2.037960952,1.943942393,2.675497698,1.856682373,CHROMOSOME_I,13835137,13840035,-,WBGene00012236,,cds
EEED8.8,3,1.166182115,1.759795936,1.490110625,1.287857301,1.506179206,2.542059529,1.758054969,1.678374812,1.764362726,2.588744401,1.422562285,CHROMOSOME_II,5388809,5389984,-,WBGene00003583,ndx-6,cds
R06C1.6,3,0,0.283708983,0,0,0.508360573,1.01562775,0,0,0,1.276332728,1.276332728,CHROMOSOME_I,11946992,11953091,+,WBGene00011060,,cds
T05G5.1,3,0,0.724179904,0,0.183506423,0.473509795,1.089567309,0,0,0.556919604,1.699207209,1.699207209,CHROMOSOME_III,9739008,9743254,-,WBGene00011498,,cds
C48B4.4,3,3.736185299,3.792975175,3.610940423,3.303166212,3.731375168,4.044215923,3.791422263,3.559131488,3.934497622,4.339236343,1.036070132,CHROMOSOME_III,9570131,9579788,-,WBGene00000421,ced-7,cds
Y32H12A.8,3,2.277416237,2.928691369,2.311305461,1.597810789,2.873341977,3.382967891,2.746037232,2.884736976,3.18465344,3.393718007,1.795907218,CHROMOSOME_III,5385578,5404946,-,WBGene00021316,,cds
Y48G1A.5,3,4.409625764,4.535420935,4.401934159,4.035698565,5.138230477,5.401857563,4.930912256,4.887874775,5.341655582,5.746985154,1.71128659,CHROMOSOME_I,318543,323353,-,WBGene00002079,xpo-2,cds
Y48G1C.9,3,2.206934548,2.646849516,2.942534695,1.835681291,3.325973093,3.880875774,3.258453639,3.247954073,3.18465344,3.329790699,2.045194483,CHROMOSOME_I,91380,92877,+,WBGene00021682,,cds
Y56A3A.7,3,1.166182115,1.235871492,1.84846817,0.683917639,1.559457009,2.601953857,2.26640275,1.678374812,1.27105168,2.334079363,1.918036218,CHROMOSOME_III,11933894,11946917,-,WBGene00013228,,cds
C14B9.2,3,0.748353335,0.902484042,1.20246744,1.178484199,0.617586964,1.039859611,1.758054969,0.793735534,0.556919604,1.763701748,1.206782144,CHROMOSOME_III,8133599,8136583,+,WBGene00015752,,cds
F39H11.1,3,3.244587934,3.200817516,3.342824218,3.235918501,2.421224055,3.407429946,3.519424353,2.884736976,2.642654259,3.706457573,1.285233518,CHROMOSOME_I,8696595,8698131,+,WBGene00009565,,cds
Y71D11A.2,3,3.279351182,3.83751865,3.382898584,3.739072586,3.130233394,3.806826569,3.690288085,3.590444219,3.25596479,4.328128901,1.197895507,CHROMOSOME_III,1143052,1145210,+,WBGene00004891,smr-1,cds
F07F6.8,3,2.98198514,2.609044876,2.545342065,2.733848146,1.841403364,2.49809475,2.93656175,2.850658239,2.275550851,3.159649147,1.318245783,CHROMOSOME_II,5424125,5425718,-,WBGene00017220,,cds
C34E11.3,3,0.64551341,0.902484042,0.471080086,0,0,0,0,0,0.556919604,1.320859981,1.320859981,CHROMOSOME_X,11826025,11836077,+,WBGene00044079,tag-241,cds
M02F4.8,3,1.753930507,1.914499445,2.067303575,1.552779529,1.162443093,1.836561886,1.538035347,1.400282378,2.263097375,2.894909676,1.732466583,CHROMOSOME_X,3025052,3026961,+,WBGene00000175,aqp-7,cds
F55A3.1,3,2.828890014,2.959807522,3.031325685,2.069429531,2.729786913,2.775257275,2.640050032,2.990383363,2.940914144,3.330763733,1.261334202,CHROMOSOME_I,10799612,10806890,+,WBGene00018847,12:00:00 AM,cds
F33H2.3,3,4.13100897,3.90757444,3.382898584,2.844245339,2.459976148,4.012993929,3.635425977,4.210825466,4.065640327,4.317426231,1.857450083,CHROMOSOME_I,15034506,15035456,+,WBGene00009367,,cds
Y73B6BL.9,3,5.94319981,5.918324588,4.418740137,3.000164058,2.914818778,4.392044904,4.65954842,4.183706242,4.488663177,4.842407482,3.028381033,CHROMOSOME_IV,6294229,6295209,+,WBGene00001853,hil-2,cds
AC7.2,4,0.64551341,0,0.406354161,0.370267571,0.989630755,2.56728598,2.263481086,2.500794546,2.53208607,2.245490372,2.56728598,CHROMOSOME_IV,5126998,5145802,-,WBGene00004929,soc-2,cds
C04A11.4,4,0.748353335,0,0.217436915,0.183506423,1.352720725,3.403255004,2.640050032,3.537872277,3.334370895,2.725299211,3.537872277,CHROMOSOME_X,13687903,13695721,+,WBGene00000074,adm-2,cds
F53H8.2,4,0.64551341,0,0.290991304,0.210328848,0.856719744,2.753443122,2.114215451,2.522603045,2.52166866,2.692542287,2.753443122,CHROMOSOME_X,950779,954230,+,WBGene00000195,arr-1,cds
B0416.4,4,0,0,0.217436915,0,1.088472488,2.745326883,2.116376114,2.275067957,2.403851739,2.416625595,2.745326883,CHROMOSOME_X,9278903,9279887,+,WBGene00015180,,cds
R09E10.7,4,0,0,0,0.210328848,1.114666736,2.995318613,2.265429519,2.456162907,2.851650337,2.623915392,2.995318613,CHROMOSOME_IV,10286931,10292986,+,WBGene00004140,pqn-55,cds
F52G3.1,4,0,0,0.217436915,0.346283344,1.247417153,3.501330075,2.746734789,3.343055749,2.93699959,3.17131202,3.501330075,CHROMOSOME_X,16963796,16972747,+,WBGene00018710,,cds
K08H2.3,4,0,0,0.217436915,0,1.041655443,3.207762557,2.115296187,2.884736976,2.849569455,3.319345526,3.319345526,CHROMOSOME_X,13237353,13238408,+,WBGene00010690,,cds
ZK154.5,4,0,0,0,0,0.989630755,3.081995984,1.945276125,3.0059497,2.749818224,3.134365809,3.134365809,CHROMOSOME_X,7783136,7787884,-,WBGene00022667,,cds
ZK470.5,4,0,0,0.290991304,0,0.964751346,2.576464875,1.946491066,2.456162907,2.851650337,3.019901797,3.019901797,CHROMOSOME_X,4148625,4153419,-,WBGene00006410,nck-1,cds
C09B8.7,4,0,0.283708983,0.406354161,0.393859582,0.964751346,2.296404492,1.947704985,2.90147915,2.749818224,2.5704202,2.90147915,CHROMOSOME_X,6044274,6048575,-,WBGene00003911,pak-1,cds
Y39G8B.1,4,0,0,0.631162961,0.183506423,0.768971725,2.232562727,1.538035347,2.478651312,2.398168181,2.175556322,2.478651312,CHROMOSOME_II,13970509,13972872,-,WBGene00012722,,cds
F18H3.1,4,0,0,0,0,0.357970725,1.792963207,0.96374902,1.754070692,1.533514936,1.594285565,1.792963207,CHROMOSOME_X,13519593,13521467,+,WBGene00008939,,cds
R03E1.1,4,0,0.463941628,0.217436915,0,0.644542827,2.834042607,1.536422576,2.797981519,2.853728221,2.708639483,2.853728221,CHROMOSOME_X,14164569,14169630,-,WBGene00006369,sym-4,cds
F54F7.5,4,0,0,0,0,0.319239076,2.395594683,1.278316317,2.797981519,2.409512994,2.417541808,2.797981519,CHROMOSOME_X,11857426,11862296,+,WBGene00003219,mes-1,cds
R08E3.3,4,0,0,0.217436915,0.183506423,0.190059745,1.892252431,1.28024483,2.456162907,2.114062043,2.024614984,2.456162907,CHROMOSOME_X,4818569,4821678,+,WBGene00019959,,cds
Y11D7A.13,4,0,0,0.217436915,0,0.357970725,1.985146158,1.28024483,2.275067957,1.947838179,2.334079363,2.334079363,CHROMOSOME_IV,9270080,9271601,+,WBGene00012436,flh-3,cds
M05B5.5,4,0.64551341,0,0.573373063,0,1.330541729,2.875026171,2.525654731,3.665964688,3.741368767,3.877504349,3.877504349,CHROMOSOME_I,7190846,7193914,-,WBGene00001949,hlh-2,cds
T20B5.3,4,0.64551341,0,0,0.183506423,0.768971725,2.131168627,1.756670428,2.850658239,2.640248732,2.588744401,2.850658239,CHROMOSOME_X,9343198,9347371,-,WBGene00020596,oga-1,cds
C02B4.2,4,0,0,0,0,0,1.733221701,0.560896671,1.400282378,1.759937797,1.856016079,1.856016079,CHROMOSOME_X,12663724,12667782,-,WBGene00003616,nhr-17,cds
W04H10.3,4,0,0,0,0,0.357970725,1.836561886,0.96374902,1.400282378,1.768774125,1.825436063,1.836561886,CHROMOSOME_II,595203,602127,-,WBGene00003599,nhl-3,cds
Y46G5A.8,4,0,0,0,0,0.508360573,2.316380412,0.96374902,1.678374812,1.943942393,1.913999747,2.316380412,CHROMOSOME_II,12756283,12757604,+,WBGene00012900,,cds
C02C6.1,4,0,0,0,0,1.554541611,2.690405414,1.538035347,2.833312165,3.18465344,3.159649147,3.18465344,CHROMOSOME_X,15568848,15573625,+,WBGene00001130,dyn-1,cds
ZK829.5,4,0,0,0,0,0.993268031,2.022106107,0.96374902,2.325565481,2.395317983,2.267390713,2.395317983,CHROMOSOME_IV,11950572,11952181,+,WBGene00006555,tbx-36,cds
C27C12.2,4,0,0,0.217436915,0.210328848,1.114666736,1.851762204,0.96374902,1.678374812,1.947838179,2.222204106,2.222204106,CHROMOSOME_X,14845868,14849125,+,WBGene00007772,egrh-1,cds
F43C1.4,4,0,0,0.217436915,0,1.180974421,2.231462054,1.278316317,2.522603045,2.26933755,3.229818359,3.229818359,CHROMOSOME_III,4230407,4233192,-,WBGene00003619,nhr-20,cds
R13A1.2,4,0,0,0.573373063,0.183506423,0.883515837,2.263760406,0.96374902,1.976081027,2.120979697,2.175556322,2.263760406,CHROMOSOME_IV,7213202,7217968,+,WBGene00006504,kcc-1,cds
C24H10.5,4,0,0,0.631162961,0.393859582,0.473509795,1.621904172,0.966147004,1.400282378,1.27105168,1.40414454,1.621904172,CHROMOSOME_X,5074365,5078039,-,WBGene00006861,cal-5,cds
ZK770.3,4,0,0.283708983,1.096709265,0.556655625,1.205555649,2.868275918,2.115296187,2.867798229,2.266220836,2.552694516,2.868275918,CHROMOSOME_I,3755473,3759076,-,WBGene00002134,inx-12,cds
T04G9.1,4,0,0,0.290991304,0,0,1.181844701,0.560896671,0.793735534,0.973102158,0.806592064,1.181844701,CHROMOSOME_X,788352,796155,+,WBGene00020214,attf-5,cds
T07A9.3,4,0,0,0,0,0,1.181844701,0.560896671,1.302824747,0.95772856,0.806592064,1.302824747,CHROMOSOME_IV,405623,410026,-,WBGene00002187,kgb-1,cds
ZC506.3,4,0,0,0.217436915,0.183506423,0.508360573,2.560680012,0.966147004,2.325565481,1.947838179,1.763701748,2.560680012,CHROMOSOME_X,9965437,9968526,+,WBGene00013920,pssy-1,cds
F16B12.4,4,0,0,0,0.210328848,0.190059745,2.035480485,1.28024483,1.71671915,1.538690448,1.942777021,2.035480485,CHROMOSOME_X,14095674,14098595,-,WBGene00008880,,cds
F37B4.10,4,0,0,0,0,0.357970725,2.011174335,1.278316317,2.007352733,0.965435837,2.024614984,2.024614984,CHROMOSOME_V,2875758,2877633,-,WBGene00018140,,cds
T16G1.9,4,0,0,0,0,0.768971725,2.936425783,2.114215451,2.657026894,1.764362726,2.741768753,2.936425783,CHROMOSOME_V,12946801,12950642,-,WBGene00011802,,cds
ZC504.3,4,0,0,0.573373063,0.210328848,0.883515837,2.868275918,1.947704985,2.275067957,1.755499254,2.587930738,2.868275918,CHROMOSOME_X,10416577,10419691,-,WBGene00013917,,cds
F31F6.2,4,0,0.675026005,0,0,1.483670233,2.781704226,1.947704985,3.146138142,1.943942393,2.533058436,3.146138142,CHROMOSOME_X,14868945,14870606,-,WBGene00009301,,cds
F52D2.2,4,0,0,0,0,0.989630755,2.153549901,1.538035347,2.522603045,1.533514936,2.334079363,2.522603045,CHROMOSOME_X,1952473,1953554,-,WBGene00004351,,cds
Y59E1A.2,4,0,0,0,0,0.883515837,2.153549901,1.538035347,2.522603045,1.533514936,2.102058775,2.522603045,CHROMOSOME_X,1943944,1945025,-,WBGene00021988,,cds
F54F7.6,4,0,0,0.290991304,0,0.508360573,1.945872885,1.538035347,2.500794546,1.283436976,1.794193797,2.500794546,CHROMOSOME_X,11865474,11866993,+,WBGene00010066,,cds
F40F9.7,4,3.360854104,3.499353747,3.509241014,3.810548362,4.171646419,4.773097073,4.45617229,4.995215516,4.549260249,4.670803249,1.634361412,CHROMOSOME_V,9730087,9734003,+,WBGene00009584,drap-1,cds
F57C7.2,4,0,0,0,0.183506423,0.473509795,2.395594683,0.96374902,2.478651312,0.965435837,2.199601484,2.478651312,CHROMOSOME_X,10576898,10580992,+,WBGene00003733,nhx-5,cds
C06A8.3,4,0,0.283708983,0.573373063,0.183506423,0.856719744,2.119846425,1.755284558,2.037960952,2.52166866,1.731078021,2.52166866,CHROMOSOME_II,7790508,7791326,+,WBGene00015514,,cds
